user_id,product_id,product_category,event_type,event_timestamp,price,user_location,device_type,quantity,coupon_used,user_age,user_gender,product_rating,product_stock_status,payment_method
U675,P681,Beauty,add_to_cart,24-05-2025 12:40,424.78,Bangalore,Desktop,2,No,25-34,Male,1.21,In Stock,
U352,P902,Clothing,purchase,04-01-2025 16:38,578.8,Hyderabad,Tablet,5,No,45-54,Male,1.14,Out of Stock,Credit Card
U578,P741,Sports,purchase,16-01-2025 03:26,1026.47,Chennai,Mobile,1,Yes,55+,Other,4.02,In Stock,Net Banking
U187,P551,Home,view,26-04-2025 07:41,277.89,Chennai,Mobile,0,No,25-34,Male,2.42,Out of Stock,
U606,P176,Beauty,view,30-03-2025 04:43,965.45,Mumbai,Tablet,0,No,18-24,Male,3.5,Out of Stock,
U154,P55,Toys,add_to_cart,02-06-2025 09:19,494.21,Bangalore,Desktop,4,No,18-24,Female,4.23,In Stock,
U699,P881,Electronics,add_to_cart,16-04-2025 20:59,383.46,Bangalore,Tablet,1,No,45-54,Male,1.65,In Stock,
U481,P201,Toys,view,16-03-2025 07:57,234.46,Hyderabad,Mobile,0,Yes,55+,Other,4.86,Out of Stock,
U408,P492,Home,view,10-12-2024 11:52,829.02,Hyderabad,Tablet,0,No,55+,Male,1.64,Out of Stock,
U536,P250,Books,purchase,25-12-2024 10:11,101.67,Kolkata,Desktop,3,No,55+,Male,2.62,Out of Stock,Credit Card
U224,P28,Home,add_to_cart,04-05-2025 17:56,427.91,Pune,Tablet,4,Yes,45-54,Other,2.7,In Stock,
U138,P780,Sports,purchase,02-06-2025 10:34,931.96,Delhi,Mobile,5,Yes,25-34,Other,2.37,Out of Stock,Cash
U823,P948,Sports,purchase,25-04-2025 13:49,823.71,Bangalore,Desktop,3,Yes,45-54,Female,2.37,In Stock,Net Banking
U296,P787,Books,add_to_cart,25-01-2025 17:33,77.55,Bangalore,Tablet,1,No,25-34,Other,1.46,Out of Stock,
U356,P636,Electronics,purchase,21-04-2025 23:01,991.63,Bangalore,Tablet,2,Yes,18-24,Male,4.93,In Stock,Debit Card
U641,P874,Toys,add_to_cart,12-05-2025 21:26,120.55,Pune,Desktop,3,Yes,45-54,Female,3.8,In Stock,
U271,P884,Clothing,add_to_cart,28-12-2024 08:11,970.4,Pune,Mobile,2,Yes,35-44,Other,3.74,In Stock,
U13,P966,Books,view,08-04-2025 18:31,618.69,Pune,Mobile,0,Yes,45-54,Male,4.57,Out of Stock,
U472,P244,Electronics,purchase,05-02-2025 04:39,288.01,Kolkata,Desktop,2,No,45-54,Other,2.98,In Stock,Net Banking
U776,P989,Toys,purchase,23-04-2025 23:39,618.42,Kolkata,Desktop,1,Yes,35-44,Female,2.71,In Stock,Debit Card
U508,P906,Home,add_to_cart,20-01-2025 21:07,631.87,Chennai,Desktop,3,Yes,25-34,Female,3.28,In Stock,
U595,P396,Toys,view,06-04-2025 00:15,882.37,Chennai,Tablet,0,Yes,18-24,Female,4.27,Out of Stock,
U526,P567,Toys,purchase,13-01-2025 14:50,585.08,Mumbai,Desktop,5,Yes,45-54,Female,4.43,Out of Stock,Cash
U492,P512,Home,purchase,01-03-2025 21:20,819.96,Chennai,Mobile,1,No,25-34,Other,4.12,In Stock,UPI
U427,P954,Beauty,add_to_cart,01-01-2025 00:59,432.08,Delhi,Desktop,1,Yes,18-24,Female,4.05,Out of Stock,
U326,P400,Home,add_to_cart,23-05-2025 13:54,717.94,Mumbai,Mobile,4,Yes,18-24,Male,1.92,In Stock,
U438,P651,Electronics,view,29-03-2025 02:19,800.87,Delhi,Mobile,0,No,18-24,Other,1.83,In Stock,
U859,P446,Electronics,add_to_cart,11-03-2025 07:36,214.39,Chennai,Tablet,4,No,25-34,Female,3.66,Out of Stock,
U557,P466,Home,purchase,05-12-2024 12:16,676.16,Bangalore,Mobile,5,No,35-44,Male,3.7,In Stock,UPI
U208,P107,Beauty,view,25-03-2025 00:20,356.19,Chennai,Desktop,0,Yes,35-44,Female,2.39,In Stock,
U155,P846,Electronics,add_to_cart,18-04-2025 16:30,570.04,Mumbai,Tablet,2,Yes,18-24,Other,4.59,In Stock,
U77,P929,Toys,add_to_cart,16-04-2025 03:01,646.83,Pune,Tablet,5,No,25-34,Male,1.27,Out of Stock,
U403,P159,Sports,view,16-01-2025 12:40,348.7,Pune,Mobile,0,No,25-34,Male,3.82,Out of Stock,
U882,P257,Home,add_to_cart,24-05-2025 13:31,319.81,Pune,Tablet,1,No,45-54,Male,2.27,In Stock,
U257,P117,Beauty,view,16-04-2025 02:02,656.72,Hyderabad,Mobile,0,No,55+,Other,2.16,Out of Stock,
U352,P871,Sports,add_to_cart,04-01-2025 20:52,154.87,Delhi,Mobile,2,No,55+,Other,1.47,Out of Stock,
U830,P846,Beauty,purchase,11-03-2025 06:42,1036.06,Pune,Mobile,1,Yes,55+,Other,1.33,Out of Stock,UPI
U579,P361,Toys,add_to_cart,21-02-2025 06:07,301.7,Kolkata,Desktop,3,Yes,45-54,Female,4.44,In Stock,
U841,P462,Home,add_to_cart,16-01-2025 18:47,979.2,Kolkata,Tablet,3,Yes,45-54,Female,2.82,Out of Stock,
U884,P682,Sports,view,23-03-2025 23:48,723.77,Pune,Mobile,0,Yes,25-34,Male,4.51,In Stock,
U666,P673,Toys,purchase,24-05-2025 02:43,767.47,Pune,Tablet,3,No,35-44,Other,4.43,In Stock,UPI
U380,P516,Home,add_to_cart,02-01-2025 23:55,256.78,Kolkata,Tablet,2,No,35-44,Male,3.5,In Stock,
U391,P295,Beauty,view,08-01-2025 08:33,822.5,Chennai,Mobile,0,Yes,45-54,Other,3.09,Out of Stock,
U209,P383,Electronics,add_to_cart,09-02-2025 16:11,729.58,Mumbai,Mobile,2,No,55+,Other,1.31,In Stock,
U204,P304,Books,purchase,10-02-2025 14:12,814.86,Chennai,Mobile,2,Yes,45-54,Other,3.91,In Stock,Debit Card
U421,P177,Home,purchase,18-01-2025 11:09,910.55,Delhi,Tablet,3,No,25-34,Other,3.7,In Stock,Debit Card
U3,P408,Electronics,purchase,26-03-2025 19:59,277.16,Pune,Tablet,1,No,18-24,Other,3.86,In Stock,UPI
U415,P201,Electronics,purchase,26-01-2025 06:49,514.3,Delhi,Desktop,3,No,35-44,Male,1.54,Out of Stock,Credit Card
U942,P547,Clothing,add_to_cart,17-03-2025 01:23,844.73,Pune,Tablet,1,Yes,45-54,Female,4.35,Out of Stock,
U54,P619,Clothing,add_to_cart,02-05-2025 19:48,327.2,Hyderabad,Mobile,1,Yes,25-34,Male,3.49,Out of Stock,
U110,P979,Clothing,add_to_cart,16-01-2025 04:08,793.17,Delhi,Mobile,5,No,55+,Male,1.03,Out of Stock,
U595,P746,Clothing,view,11-04-2025 07:55,219.92,Bangalore,Mobile,0,Yes,45-54,Other,2.73,Out of Stock,
U61,P236,Electronics,add_to_cart,25-03-2025 10:17,700.09,Hyderabad,Tablet,5,Yes,25-34,Other,1.98,In Stock,
U429,P794,Home,purchase,13-04-2025 12:19,685.42,Chennai,Tablet,4,Yes,35-44,Female,3.74,Out of Stock,Cash
U78,P76,Books,view,28-02-2025 17:21,492.25,Pune,Tablet,0,Yes,35-44,Other,1.58,In Stock,
U824,P997,Toys,purchase,18-05-2025 02:10,842.2,Chennai,Desktop,4,No,25-34,Male,4.7,In Stock,Debit Card
U248,P125,Sports,purchase,05-05-2025 19:18,710.21,Bangalore,Tablet,4,Yes,25-34,Female,1.43,Out of Stock,Cash
U785,P681,Sports,add_to_cart,26-12-2024 21:48,276.8,Kolkata,Desktop,2,No,45-54,Male,3.87,Out of Stock,
U40,P574,Home,view,18-05-2025 12:52,229.67,Kolkata,Mobile,0,No,35-44,Other,3.33,In Stock,
U323,P920,Clothing,purchase,29-03-2025 07:50,85.65,Mumbai,Mobile,3,No,25-34,Other,4.9,In Stock,UPI
U805,P583,Beauty,purchase,29-01-2025 14:17,637.28,Delhi,Mobile,2,Yes,25-34,Other,2.14,In Stock,Net Banking
U969,P181,Home,purchase,06-03-2025 13:16,795.55,Hyderabad,Tablet,4,No,45-54,Female,2.98,In Stock,Cash
U988,P305,Electronics,add_to_cart,22-04-2025 00:37,943.3,Hyderabad,Desktop,5,Yes,35-44,Female,1.33,In Stock,
U330,P433,Electronics,add_to_cart,03-02-2025 13:44,430.29,Bangalore,Mobile,5,Yes,35-44,Male,3.28,In Stock,
U801,P555,Toys,view,09-04-2025 18:22,575.29,Hyderabad,Tablet,0,Yes,35-44,Female,4.39,Out of Stock,
U232,P503,Home,add_to_cart,04-04-2025 16:37,959.31,Pune,Tablet,1,No,45-54,Other,4.68,In Stock,
U673,P898,Toys,purchase,25-01-2025 04:52,613.57,Bangalore,Tablet,4,No,25-34,Other,2.12,In Stock,Credit Card
U335,P891,Toys,purchase,17-04-2025 15:46,997.85,Pune,Tablet,3,Yes,35-44,Male,3.94,Out of Stock,Debit Card
U142,P32,Home,add_to_cart,11-05-2025 02:13,261.02,Pune,Mobile,2,No,45-54,Male,3.77,Out of Stock,
U344,P385,Home,view,15-03-2025 01:33,639.3,Hyderabad,Mobile,0,No,55+,Male,1.65,Out of Stock,
U956,P104,Beauty,view,18-01-2025 10:58,593.02,Chennai,Mobile,0,Yes,55+,Female,3.73,Out of Stock,
U636,P804,Sports,add_to_cart,06-12-2024 05:44,968.36,Delhi,Mobile,2,No,35-44,Female,3.79,Out of Stock,
U611,P610,Home,add_to_cart,15-03-2025 12:23,315.87,Chennai,Tablet,4,Yes,55+,Female,1.32,In Stock,
U763,P19,Toys,add_to_cart,12-04-2025 15:22,993.57,Bangalore,Mobile,1,Yes,55+,Other,3.44,In Stock,
U771,P192,Electronics,view,28-01-2025 15:07,809.31,Pune,Tablet,0,Yes,35-44,Male,1.63,In Stock,
U918,P662,Toys,add_to_cart,06-05-2025 06:41,1039.9,Delhi,Mobile,3,No,45-54,Female,2.07,Out of Stock,
U893,P982,Toys,view,28-04-2025 13:54,238.38,Bangalore,Mobile,0,Yes,25-34,Male,4.28,In Stock,
U658,P366,Toys,purchase,24-02-2025 11:33,614.3,Pune,Mobile,1,Yes,18-24,Other,1.39,In Stock,Cash
U534,P85,Clothing,view,07-05-2025 05:18,271.92,Bangalore,Tablet,0,Yes,25-34,Male,1.42,In Stock,
U317,P119,Home,view,20-04-2025 05:30,753.58,Kolkata,Mobile,0,Yes,55+,Other,4.07,Out of Stock,
U824,P503,Books,add_to_cart,17-02-2025 14:44,245.62,Delhi,Mobile,4,Yes,55+,Male,4.66,Out of Stock,
U668,P804,Home,add_to_cart,16-01-2025 12:44,743.34,Hyderabad,Mobile,1,No,45-54,Other,2.26,Out of Stock,
U180,P154,Sports,purchase,10-04-2025 12:48,563.45,Kolkata,Desktop,2,Yes,35-44,Male,1.32,In Stock,UPI
U284,P806,Sports,add_to_cart,31-05-2025 02:14,884.22,Pune,Mobile,2,No,45-54,Female,1.35,Out of Stock,
U631,P455,Sports,add_to_cart,10-01-2025 19:34,357.35,Bangalore,Mobile,5,No,18-24,Other,1.62,In Stock,
U357,P239,Sports,purchase,10-05-2025 12:26,109.14,Bangalore,Desktop,2,Yes,25-34,Other,3.77,Out of Stock,Credit Card
U530,P515,Sports,add_to_cart,10-02-2025 18:02,204.72,Bangalore,Tablet,2,No,35-44,Male,1.93,In Stock,
U974,P355,Electronics,add_to_cart,04-04-2025 12:52,749.71,Hyderabad,Tablet,3,No,55+,Female,2.59,In Stock,
U215,P759,Clothing,view,18-05-2025 11:54,176.09,Kolkata,Desktop,0,Yes,18-24,Male,4.37,Out of Stock,
U560,P462,Electronics,add_to_cart,21-04-2025 00:23,163.92,Hyderabad,Desktop,5,No,35-44,Female,2.79,Out of Stock,
U324,P670,Books,add_to_cart,13-12-2024 17:41,786.99,Bangalore,Tablet,5,No,35-44,Female,3.45,In Stock,
U296,P641,Books,view,12-03-2025 02:15,452.82,Pune,Mobile,0,No,25-34,Other,2.23,Out of Stock,
U853,P650,Sports,add_to_cart,10-04-2025 15:50,632.87,Kolkata,Mobile,2,No,45-54,Other,3.24,In Stock,
U381,P801,Clothing,add_to_cart,07-04-2025 14:24,796.18,Chennai,Tablet,3,Yes,18-24,Female,1.07,In Stock,
U90,P156,Sports,purchase,13-03-2025 09:31,816.37,Pune,Desktop,4,Yes,55+,Other,4.52,Out of Stock,Net Banking
U484,P807,Beauty,add_to_cart,20-01-2025 00:30,814.55,Bangalore,Desktop,3,Yes,55+,Other,4.9,Out of Stock,
U14,P787,Toys,add_to_cart,23-03-2025 09:37,977.71,Delhi,Mobile,5,No,18-24,Other,1.74,In Stock,
U608,P564,Sports,view,02-02-2025 21:37,761.12,Delhi,Desktop,0,No,55+,Other,1.2,Out of Stock,
U734,P450,Beauty,purchase,12-01-2025 23:38,629.58,Hyderabad,Mobile,5,Yes,35-44,Male,4.85,In Stock,UPI
U221,P809,Electronics,view,27-04-2025 23:55,918.85,Bangalore,Desktop,0,No,25-34,Male,3.54,In Stock,
U966,P545,Books,purchase,01-06-2025 22:00,559.31,Bangalore,Tablet,2,Yes,18-24,Female,4.54,Out of Stock,Debit Card
U881,P344,Toys,view,21-12-2024 16:15,873.36,Mumbai,Mobile,0,No,55+,Male,1.31,Out of Stock,
U257,P447,Toys,view,12-02-2025 21:25,473.28,Mumbai,Mobile,0,No,18-24,Male,2.79,Out of Stock,
U927,P452,Home,add_to_cart,12-12-2024 03:23,866.01,Kolkata,Tablet,3,Yes,25-34,Male,2.41,Out of Stock,
U982,P483,Books,add_to_cart,02-01-2025 18:58,904.65,Mumbai,Tablet,2,Yes,25-34,Female,1.61,In Stock,
U617,P812,Electronics,add_to_cart,31-01-2025 10:18,1031.21,Chennai,Desktop,4,Yes,45-54,Male,2.62,Out of Stock,
U688,P275,Home,add_to_cart,31-12-2024 10:51,853.88,Hyderabad,Desktop,5,No,18-24,Female,4.22,In Stock,
U837,P983,Toys,purchase,29-01-2025 17:25,1018.02,Pune,Desktop,1,Yes,18-24,Other,4.87,In Stock,Net Banking
U129,P516,Sports,add_to_cart,18-01-2025 08:50,613.84,Pune,Tablet,1,Yes,18-24,Female,1.77,In Stock,
U747,P361,Clothing,purchase,10-03-2025 04:47,697.4,Pune,Mobile,2,Yes,18-24,Female,4.05,Out of Stock,Cash
U133,P180,Sports,view,12-12-2024 23:58,328.61,Chennai,Mobile,0,Yes,35-44,Male,5,In Stock,
U896,P573,Electronics,purchase,03-03-2025 23:01,779.98,Pune,Mobile,5,Yes,45-54,Female,2.48,In Stock,Debit Card
U881,P491,Beauty,add_to_cart,03-04-2025 06:09,256.91,Hyderabad,Tablet,3,Yes,35-44,Other,2,In Stock,
U958,P353,Books,view,17-01-2025 02:14,507.33,Kolkata,Desktop,0,Yes,55+,Other,2.21,Out of Stock,
U561,P220,Sports,view,20-05-2025 15:43,259.91,Pune,Tablet,0,No,55+,Other,3.76,Out of Stock,
U872,P706,Beauty,purchase,27-01-2025 12:18,202.99,Kolkata,Desktop,2,Yes,18-24,Other,4.77,Out of Stock,UPI
U686,P717,Home,add_to_cart,28-04-2025 19:21,58.49,Chennai,Desktop,4,Yes,55+,Female,1.79,Out of Stock,
U333,P780,Electronics,add_to_cart,10-03-2025 22:50,675.25,Chennai,Mobile,3,No,55+,Female,1.87,In Stock,
U755,P805,Sports,purchase,16-03-2025 21:35,729.81,Hyderabad,Tablet,4,Yes,35-44,Other,2.64,Out of Stock,UPI
U101,P533,Home,add_to_cart,01-05-2025 13:56,292.56,Kolkata,Desktop,5,Yes,18-24,Male,1.06,In Stock,
U710,P759,Beauty,view,03-06-2025 15:45,61.3,Mumbai,Tablet,0,No,18-24,Male,4.44,Out of Stock,
U118,P311,Home,view,03-01-2025 21:55,1013.02,Delhi,Mobile,0,No,25-34,Male,2.63,In Stock,
U478,P529,Sports,purchase,02-06-2025 23:14,489.11,Mumbai,Mobile,4,No,55+,Other,3.99,Out of Stock,UPI
U55,P140,Books,purchase,23-12-2024 08:54,94.71,Delhi,Desktop,3,Yes,35-44,Other,2.77,Out of Stock,UPI
U462,P930,Books,purchase,16-12-2024 10:45,208.03,Kolkata,Desktop,2,No,25-34,Male,1.16,Out of Stock,Cash
U779,P910,Clothing,purchase,17-03-2025 03:46,481.24,Kolkata,Tablet,5,Yes,55+,Female,2.64,Out of Stock,Net Banking
U421,P397,Beauty,view,28-03-2025 11:26,962.07,Mumbai,Mobile,0,No,25-34,Female,1.49,In Stock,
U948,P713,Clothing,purchase,02-05-2025 05:50,994.55,Delhi,Desktop,3,No,45-54,Female,2.71,Out of Stock,Net Banking
U505,P302,Beauty,view,17-02-2025 23:53,713.97,Bangalore,Tablet,0,No,18-24,Female,1.48,In Stock,
U427,P849,Electronics,add_to_cart,27-12-2024 15:45,953.5,Kolkata,Mobile,2,Yes,55+,Female,3.46,Out of Stock,
U688,P721,Beauty,purchase,22-05-2025 11:10,351.74,Hyderabad,Desktop,4,No,45-54,Other,4.3,In Stock,Net Banking
U425,P929,Beauty,purchase,19-05-2025 04:07,54.56,Chennai,Mobile,2,Yes,45-54,Other,4.17,In Stock,Net Banking
U94,P204,Sports,view,16-01-2025 09:46,498.52,Chennai,Desktop,0,No,25-34,Other,1.14,Out of Stock,
U425,P566,Toys,purchase,07-04-2025 00:28,720.11,Mumbai,Mobile,2,Yes,35-44,Other,3.57,Out of Stock,Debit Card
U517,P946,Beauty,purchase,28-03-2025 07:03,85.15,Kolkata,Desktop,3,Yes,45-54,Other,1.98,In Stock,Credit Card
U304,P417,Home,purchase,25-02-2025 00:39,173.48,Bangalore,Desktop,1,No,45-54,Male,2.65,Out of Stock,UPI
U747,P93,Clothing,add_to_cart,26-01-2025 17:34,782.15,Bangalore,Mobile,5,No,55+,Other,3.95,In Stock,
U444,P339,Electronics,view,06-12-2024 23:27,1049.84,Chennai,Desktop,0,No,55+,Male,4.03,In Stock,
U426,P116,Books,view,02-06-2025 07:11,626.38,Kolkata,Tablet,0,Yes,45-54,Female,4.39,Out of Stock,
U530,P98,Electronics,purchase,04-03-2025 02:17,629.5,Mumbai,Tablet,1,No,35-44,Male,4.92,In Stock,Debit Card
U28,P97,Sports,add_to_cart,06-03-2025 05:22,1011.56,Bangalore,Mobile,4,No,35-44,Other,3.77,In Stock,
U475,P2,Sports,add_to_cart,05-03-2025 06:18,259.52,Delhi,Tablet,4,No,45-54,Male,2.77,Out of Stock,
U572,P372,Sports,view,16-04-2025 16:16,299.43,Mumbai,Desktop,0,No,35-44,Male,1.31,In Stock,
U48,P374,Clothing,add_to_cart,16-12-2024 21:44,306.41,Mumbai,Tablet,5,Yes,45-54,Other,2.15,In Stock,
U40,P224,Books,view,22-12-2024 15:42,50.63,Kolkata,Desktop,0,No,18-24,Female,2.03,In Stock,
U517,P206,Books,purchase,20-01-2025 19:50,791.96,Pune,Mobile,3,No,25-34,Other,1.73,Out of Stock,Credit Card
U399,P941,Electronics,purchase,18-05-2025 22:10,342.46,Mumbai,Desktop,3,Yes,45-54,Female,1.07,In Stock,Net Banking
U604,P788,Electronics,purchase,13-03-2025 11:02,329.51,Delhi,Desktop,5,No,25-34,Male,3.98,Out of Stock,Cash
U654,P794,Home,purchase,02-04-2025 06:06,704.28,Delhi,Mobile,3,No,45-54,Female,4.84,Out of Stock,Credit Card
U338,P722,Home,view,04-05-2025 18:30,391.14,Hyderabad,Desktop,0,No,25-34,Male,1.27,Out of Stock,
U147,P154,Clothing,purchase,30-03-2025 04:50,870.65,Kolkata,Mobile,1,No,25-34,Other,3.16,Out of Stock,Credit Card
U260,P798,Beauty,view,16-01-2025 11:54,333.97,Mumbai,Tablet,0,Yes,18-24,Female,3.25,Out of Stock,
U971,P530,Books,purchase,16-04-2025 14:01,716.84,Delhi,Desktop,2,Yes,25-34,Female,2.96,Out of Stock,UPI
U607,P435,Sports,view,17-04-2025 04:51,223.69,Chennai,Mobile,0,Yes,55+,Male,2.33,In Stock,
U403,P418,Toys,view,11-05-2025 13:30,994.13,Bangalore,Tablet,0,Yes,25-34,Female,1.19,In Stock,
U131,P900,Clothing,view,21-01-2025 22:32,266.8,Mumbai,Tablet,0,Yes,35-44,Female,1.87,Out of Stock,
U763,P317,Sports,purchase,04-01-2025 18:20,141.49,Delhi,Mobile,3,No,18-24,Other,1.03,Out of Stock,Credit Card
U456,P211,Clothing,purchase,08-03-2025 07:11,668.81,Kolkata,Desktop,5,Yes,45-54,Female,4.4,Out of Stock,Net Banking
U201,P35,Electronics,view,07-03-2025 10:15,946.66,Hyderabad,Tablet,0,No,18-24,Female,1.64,Out of Stock,
U765,P551,Home,view,22-03-2025 18:27,612.17,Bangalore,Tablet,0,No,35-44,Male,4.95,Out of Stock,
U842,P442,Beauty,purchase,08-12-2024 18:38,400.37,Mumbai,Desktop,2,No,55+,Female,2.47,Out of Stock,UPI
U583,P136,Clothing,purchase,29-12-2024 03:12,668.66,Mumbai,Mobile,2,Yes,18-24,Other,4.99,In Stock,UPI
U97,P289,Electronics,purchase,10-12-2024 12:16,326.66,Delhi,Mobile,3,Yes,55+,Other,2.02,In Stock,Credit Card
U458,P968,Beauty,add_to_cart,06-12-2024 21:08,870.89,Bangalore,Mobile,4,No,35-44,Male,4.9,Out of Stock,
U543,P548,Electronics,view,16-03-2025 11:11,752.36,Delhi,Tablet,0,Yes,35-44,Other,2.1,Out of Stock,
U5,P242,Home,add_to_cart,02-02-2025 11:07,438.8,Bangalore,Desktop,2,No,25-34,Male,4.01,Out of Stock,
U878,P460,Books,purchase,13-12-2024 13:50,214.33,Bangalore,Tablet,1,Yes,45-54,Male,3.96,Out of Stock,Net Banking
U978,P975,Home,view,14-12-2024 04:21,232.52,Pune,Tablet,0,Yes,25-34,Other,3.48,In Stock,
U641,P343,Clothing,purchase,22-04-2025 05:21,747.13,Pune,Desktop,5,Yes,18-24,Other,2.38,In Stock,Debit Card
U143,P56,Home,add_to_cart,28-05-2025 20:11,526.33,Delhi,Mobile,2,Yes,45-54,Female,3.08,Out of Stock,
U870,P59,Books,view,23-05-2025 03:26,125.58,Delhi,Mobile,0,Yes,18-24,Female,4.89,Out of Stock,
U574,P469,Toys,purchase,16-02-2025 00:34,176.66,Hyderabad,Tablet,2,No,35-44,Other,4.69,In Stock,Credit Card
U149,P328,Beauty,purchase,19-12-2024 14:58,658.19,Kolkata,Tablet,1,No,55+,Male,3.57,In Stock,Net Banking
U545,P865,Toys,purchase,18-05-2025 21:55,802.28,Bangalore,Tablet,4,No,55+,Female,4.69,Out of Stock,UPI
U383,P595,Beauty,view,17-04-2025 03:45,388.63,Mumbai,Mobile,0,Yes,35-44,Male,4.03,In Stock,
U128,P418,Toys,add_to_cart,30-01-2025 15:27,279.39,Bangalore,Desktop,1,Yes,35-44,Male,1.25,Out of Stock,
U619,P469,Electronics,purchase,13-02-2025 11:26,210.56,Pune,Mobile,4,Yes,35-44,Male,3.03,In Stock,Net Banking
U742,P840,Books,purchase,14-12-2024 05:58,796.8,Mumbai,Mobile,3,Yes,18-24,Female,4.06,Out of Stock,Net Banking
U303,P600,Toys,purchase,20-01-2025 01:37,813.22,Hyderabad,Mobile,4,No,55+,Male,4.97,In Stock,Net Banking
U20,P645,Sports,purchase,20-02-2025 13:11,198.24,Delhi,Mobile,5,Yes,25-34,Male,2.07,In Stock,Cash
U135,P743,Clothing,add_to_cart,14-03-2025 20:05,78.69,Mumbai,Tablet,3,No,18-24,Other,2.06,Out of Stock,
U301,P184,Home,add_to_cart,07-03-2025 19:35,875.04,Mumbai,Tablet,4,No,18-24,Female,4.91,In Stock,
